pattern, strength, component1, component2
Z,-254791,,
X,-2138,,
Q,-2138,,
7,-2138,,
lmans_,0,,
s_P,0,,
Pe,0,,
ussulman,0,,
rsi,0,,
in_sho,0,in,
ans_and_M,0,,
_and_Mussu,0,,
sians,0,,
wherever,1,,
belie,1,,
lieved_,1,,
ved_in,1,,
_shor,1,,
_people_be,1,,
ver_people_,1,,
rt_,1,,
t_where,1,,
_gradation,2,,
in_gra,2,,
NOT_in_,3,,
equality_and_,3,,
equal_,3,,
_in_equal,3,,
dations_of,3,,
ity_and_equal,3,,
nk_and_NOT,3,,
_rank_and_,3,,
like,3,,
s_of_ra,3,,
right,4,,
sare_,4,,
_ri,4,,
ghtsa,4,,
_cont,5,,
in_con,5,,
not_so_much_,5,,
re_not_,5,,
so_much_in,5,,
to_one,6,,
stinction_,6,,
radi,6,,
ction_to_,6,,
adistin,6,,
one_,6,,
spect_,7,,
_in_respe,7,,
_class_,7,,
another_in_re,7,,
ct_to_,7,,
the_exoteric,7,,
nding_,7,,
to_the_ex,7,,
_another,7,,
stand,7,,
lass_sta,7,,
oteric_c,7,,
ing_without_an,8,,
wing,9,,
g_e,9,,
vie,9,,
_est,9,,
d_vi,9,,
imating,9,,
ewin,9,,
stima,9,,
without_and_,9,,
_class_views_,10,_class_,views_
asuring_and_,10,,
inside_the_,10,,
ial_d,10,,
from_be,10,,
_vie,10,,
s_from_,10,,
judging_,10,,
OM,10,,
istin,10,,
things_,10,,
in_,10,,
tinction_,10,,
is_that_the_,10,,
le_the_,10,,
ing_from_,10,,
ction_is_that,10,,
side_and_,10,,
_upward,10,,
essent,10,,
more_ess,10,,
ting_me,10,,
_the_class_,10,,
e_the_more_,10,,
views_things_,10,views_,things_
ic_class_,10,,
not_from_the_,10,,
class_in,10,,
de_and_not_,10,,
_the_esoter,10,_the_,
from_the_insid,10,,
ing_and_judg,10,,
low_up,10,,
things_FR,10,,
ws_thing,10,,
M_A,10,,
FRO,10,,
wards,10,,
esoteric,10,,
_measur,10,,
utsi,10,,
swhi,10,,
the_o,10,,
from_the_,10,,
ential,10,,
question_,10,,
_question,10,,
below,10,,
._There_are,11,,
_longer_,11,,
VE_,11,,
no_long,11,,
itself_no,11,,
y_itself_,11,,
OV,11,,
DOWN,11,,
er_appear,11,,
friend,11,,
e_he,11,,
BO,11,,
_at_the_,11,,
operate,11,,
_AB,11,,
WARDS,11,,
_of_the_soul_from_,11,,
s_to_operat,11,,
aged,11,,
trage,11,,
E_DO,11,,
_heights,11,,
ch_tr,11,,
ights_of_the_soul,11,,
appears_to_,11,,
WNWAR,11,,
DS._There_ar,11,,
ing_s,11,,
_from_whi,11,,
ther_who_,12,,
_who_would_,12,,
re_to_,12,,
_all_the_,12,,
ide_whether,12,,
_toge,12,,
to_de,12,,
sight_of_,12,,
world_we,12,,
gether,12,,
e_in_the_world,12,,
_were_,12,,
cally_and,12,,
f_all_,12,,
woe_in_the_,12,,
would_da,12,,
gical,12,,
the_wo,12,,
e_tra,12,,
cide,12,,
_whether_the_,12,,
re_taken,12,,
taken_to,12,,
_tragi,12,,
_the_sight,12,,
ILY,13,,
would_NECE,13,,
_of_it_,13,,
it_would_,13,,
SSAR,13,,
NECESS,13,,
ARIL,13,,
s_to_a_do,14,,
athy_and_t,14,,
_seduc,14,,
Y_se,14,,
hus_to_,14,,
_sympathy_,14,,
_to_symp,14,,
e_and_constrain,14,,
duce_and_,14,,
and_thu,14,,
constrain_to,14,,
bling_of_the_,15,,
?.,15,,
woe,15,,
..,15,,
a_dou,15,,
ubl,15,,
ing_of_the_wo,15,,
serves_,16,,
which_ser,16,,
._That_,16,,
hat_which_,16,,
.._T,16,,
hap,17,,
ves_the_higher,17,,
the_higher_class_,18,,
of_men_,18,,
n_for_,18,,
for_no,18,,
_class_of_me,18,_class_,of_me
uris,19,,
ish,19,,
hment_,19,,
resh,20,,
refre,20,,
or_ref,20,,
ment_or_,20,,
e_almost_,21,,
must_be,21,,
ment_must_b,21,,
er_of_human,22,,
vir,22,,
_bein,22,,
ntire,22,,
he_vi,22,,
ly_differe,22,,
_an_enti,22,,
_almost_poison,22,,
gs._T,22,,
poison_to,22,,
er_ord,22,,
human_be,22,,
lower_,22,,
_to_an_e,22,,
fferent_and_,22,,
tues_of_,22,,
rtu,22,,
rely_di,22,,
nt_and_low,22,,
order_of_,22,,
ness_in_a_philosopher,23,,
n_man,23,,
weakness_,23,,
es_of_the_co,23,,
the_commo,23,,
man_would_,23,,
in_a_philosopher_i,23,,
mmon_,23,,
vice_and_weak,23,,
the_r,23,,
perhaps_mean_,23,,
_would_perhaps_,23,,
mean_vice_and_,23,,
ry,24,,
it_th,24,,
t_might_be,24,,
_possible_for_,25,,
a_high,25,,
_for_a_,25,,
might_be_possible,25,,
_supposing_him_to_,26,,
degener,26,,
_ru,26,,
go_to,26,,
developed_man,26,,
generat,26,,
e_and_go,26,,
him_to_de,26,,
ly_developed_,26,,
ruin_,26,,
man_supposing_,26,,
ate_and_,26,,
acqu,27,,
re_qu,27,,
ies_ther,27,,
ire_,27,,
in_to_,27,,
to_ac,27,,
eby_,27,,
alit,27,,
lities_,27,,
there,27,,
by_a,27,,
hon,28,,
_for_the_sake_of_,28,,
sake_of_which_,28,,
alo,28,,
have_to_be_,28,,
ne_for_the_,28,,
he_would_have_,28,,
to_be_h,28,,
which_he_would_,28,,
lone,28,,
oured_as_a_,29,,
int_,29,in,t_
sain,29,,
